Year,Round,Region Number,Region Name,Seed,ScoreA,TeamA,TeamB,ScoreB,Seed,teamDiff,oppDiff
2012,2,3,East,2,73,Ohio St,Gonzaga,66,7,7,-7
2012,2,3,East,3,56,Florida St,Cincinnati,62,6,-6,6
2012,2,3,East,4,60,Wisconsin,Vanderbilt,57,5,3,-3
2012,2,4,Midwest,1,87,North Carolina,Creighton,73,8,14,-14
2012,2,4,Midwest,2,63,Kansas,Purdue,60,10,3,-3
2012,2,4,Midwest,3,63,Georgetown,NC State,88,11,-25,25
2012,2,4,Midwest,13,62,Ohio,South Florida,56,12,6,-6
2012,3,1,South,1,102,Kentucky,Indiana,90,4,12,-12
2012,3,1,South,10,70,Xavier,Baylor,75,3,-5,5
2012,3,2,West,1,44,Michigan St,Louisville,57,4,-13,13
2012,3,2,West,7,68,Florida,Marquette,58,3,10,-10
2012,3,3,East,1,84,Syracuse,Wisconsin,83,4,1,-1
2012,3,3,East,2,81,Ohio St,Cincinnati,66,6,15,-15
2012,3,4,Midwest,1,73,North Carolina,Ohio,65,13,8,-8
2012,3,4,Midwest,2,60,Kansas,NC State,57,11,3,-3
2012,4,1,South,1,82,Kentucky,Baylor,70,3,12,-12
2012,4,2,West,4,72,Louisville,Florida,68,7,4,-4
2012,4,3,East,1,70,Syracuse,Ohio St,77,2,-7,7
2012,4,4,Midwest,1,67,North Carolina,Kansas,80,2,-13,13
2012,5,1,Final Four,1,69,Kentucky,Louisville,61,4,8,-8
2012,5,2,Final Four,2,62,Ohio St,Kansas,64,2,-2,2
2012,6,1,Championship,1,67,Kentucky,Kansas,59,2,8,-8
2013,1,1,Midwest,1,79,Louisville,North Carolina A&T,48,16,31,-31
2013,1,1,Midwest,2,73,Duke,Albany,61,15,12,-12
2013,1,1,Midwest,3,65,Michigan St,Valparaiso,54,14,11,-11
2013,1,1,Midwest,4,64,St Louis,New Mexico St,44,13,20,-20
2013,1,1,Midwest,5,55,Oklahoma St,Oregon,68,12,-13,13
2013,1,1,Midwest,6,54,Memphis,St Marys,52,11,2,-2
2013,1,1,Midwest,7,67,Creighton,Cincinnati,63,10,4,-4
2013,1,1,Midwest,8,84,Colorado St,Missouri,72,9,12,-12
2013,1,2,West,1,64,Gonzaga,Southern,58,16,6,-6
2013,1,2,West,2,95,Ohio St,Iona,70,15,25,-25
2013,1,2,West,3,62,New Mexico,Harvard,68,14,-6,6
2013,1,2,West,4,61,Kansas St,La Salle,63,13,-2,2
2013,1,2,West,5,46,Wisconsin,Ole Miss,57,12,-11,11
2013,1,2,West,6,81,Arizona,Belmont,64,11,17,-17
2013,1,2,West,7,58,Notre Dame,Iowa St,76,10,-18,18
2013,1,2,West,8,55,Pittsburgh,Wichita St,73,9,-18,18
2013,1,3,South,1,64,Kansas,Western Kentucky,57,16,7,-7
2013,1,3,South,2,68,Georgetown,Florida Gulf Coast,78,15,-10,10
2013,1,3,South,3,79,Florida,Northwestern St,47,14,32,-32
2013,1,3,South,4,71,Michigan,South Dakota St,56,13,15,-15
2013,1,3,South,5,88,VCU,Akron,42,12,46,-46
2013,1,3,South,6,63,UCLA,Minnesota,83,11,-20,20
2013,1,3,South,7,70,San Diego St,Oklahoma,55,10,15,-15
2013,1,3,South,8,78,North Carolina,Villanova,71,9,7,-7
2013,1,4,East,1,83,Indiana,James Madison,62,16,21,-21
2013,1,4,East,2,78,Miami,Pacific,49,15,29,-29
2013,1,4,East,3,59,Marquette,Davidson,58,14,1,-1
2013,1,4,East,4,81,Syracuse,Montana,34,13,47,-47
2013,1,4,East,5,61,UNLV,California,64,12,-3,3
2013,1,4,East,6,68,Butler,Bucknell,56,11,12,-12
2013,1,4,East,7,57,Illinois,Colorado,49,10,8,-8
2013,1,4,East,8,72,NC State,Temple,76,9,-4,4
2013,2,1,Midwest,1,82,Louisville,Colorado St,56,8,26,-26
2013,2,1,Midwest,2,66,Duke,Creighton,50,7,16,-16
2013,2,1,Midwest,3,70,Michigan St,Memphis,48,6,22,-22
2013,2,1,Midwest,4,57,St Louis,Oregon,74,12,-17,17
2013,2,2,West,1,70,Gonzaga,Wichita St,76,9,-6,6
2013,2,2,West,2,78,Ohio St,Iowa St,75,10,3,-3
2013,2,2,West,14,51,Harvard,Arizona,74,6,-23,23
2013,2,2,West,13,76,La Salle,Ole Miss,74,12,2,-2
2013,2,3,South,1,70,Kansas,North Carolina,58,8,12,-12
2013,2,3,South,15,81,Florida Gulf Coast,San Diego St,71,7,10,-10
2013,2,3,South,3,78,Florida,Minnesota,64,11,14,-14
2013,2,3,South,4,78,Michigan,VCU,53,5,25,-25
2013,2,4,East,1,58,Indiana,Temple,52,9,6,-6
2013,2,4,East,2,63,Miami,Illinois,59,7,4,-4
2013,2,4,East,3,74,Marquette,Butler,72,6,2,-2
2013,2,4,East,4,66,Syracuse,California,60,12,6,-6
2013,3,1,Midwest,1,77,Louisville,Oregon,69,12,8,-8
2013,3,1,Midwest,2,71,Duke,Michigan St,61,3,10,-10
2013,3,2,West,9,72,Wichita St,La Salle,58,13,14,-14
2013,3,2,West,2,73,Ohio St,Arizona,70,6,3,-3
2013,3,3,South,1,85,Kansas,Michigan,87,4,-2,2
2013,3,3,South,15,50,Florida Gulf Coast,Florida,62,3,-12,12
2013,3,4,East,1,50,Indiana,Syracuse,61,4,-11,11
2013,3,4,East,2,61,Miami,Marquette,71,3,-10,10
2013,4,1,Midwest,1,85,Louisville,Duke,63,2,22,-22
2013,4,2,West,9,70,Wichita St,Ohio St,66,2,4,-4
2013,4,3,South,4,79,Michigan,Florida,59,3,20,-20
2013,4,4,East,4,55,Syracuse,Marquette,39,3,16,-16
2013,5,1,Final Four,1,72,Louisville,Wichita St,68,9,4,-4
2013,5,2,Final Four,4,61,Michigan,Syracuse,56,4,5,-5
2013,6,1,Championship,1,82,Louisville,Michigan,76,4,6,-6
2014,1,1,South,1,67,Florida,Albany,55,16,12,-12
2014,1,1,South,2,80,Kansas,Eastern Kentucky,69,15,11,-11
2014,1,1,South,3,77,Syracuse,Western Michigan,53,14,24,-24
2014,1,1,South,4,76,UCLA,Tulsa,59,13,17,-17
